position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
ES.SIM-BrianStonkStrategy-002-1c16e330-49da-4283-b664-8b4fb50708ee,BACKTESTER-002,BrianStonkStrategy-002,ES.SIM,SIM-001,O-20240102-150000-002-002-1,O-20240102-190000-002-002-2,BUY,FLAT,0,10,1704207600000000000,2024-01-02 15:00:00+00:00,1704222000000000000,2024-01-02 19:00:00+00:00,14400000000000,5100.51,5099.18,['0.00 USD'],-0.00026,-66.50 USD,True
ES.SIM-BrianStonkStrategy-002-b4dc9404-113c-4f9b-8ea8-9ff99a955008,BACKTESTER-002,BrianStonkStrategy-002,ES.SIM,SIM-001,O-20240103-191000-002-002-3,O-20240103-200500-002-002-4,BUY,FLAT,0,10,1704309000000000000,2024-01-03 19:10:00+00:00,1704312300000000000,2024-01-03 20:05:00+00:00,3300000000000,5073.85,5072.25,['0.00 USD'],-0.00032,-80.00 USD,True
ES.SIM-BrianStonkStrategy-002-6f3f8edc-0ddd-484f-ad98-58b1c655f469,BACKTESTER-002,BrianStonkStrategy-002,ES.SIM,SIM-001,O-20240104-150000-002-002-5,O-20240104-161500-002-002-6,SELL,FLAT,0,10,1704380400000000000,2024-01-04 15:00:00+00:00,1704384900000000000,2024-01-04 16:15:00+00:00,4500000000000,5060.52,5080.52,['0.00 USD'],-0.00395,-1000.00 USD,True
ES.SIM-BrianStonkStrategy-002-628026fb-8f5b-47ad-9ff9-25296d5ac84d,BACKTESTER-002,BrianStonkStrategy-002,ES.SIM,SIM-001,O-20240104-175500-002-002-7,O-20240104-205500-002-002-8,BUY,FLAT,0,10,1704390900000000000,2024-01-04 17:55:00+00:00,1704401700000000000,2024-01-04 20:55:00+00:00,10800000000000,5063.19,5042.66,['0.00 USD'],-0.00405,-1026.50 USD,True
ES.SIM-BrianStonkStrategy-002-f9dae018-2199-4995-9e1c-808c6fffd818,BACKTESTER-002,BrianStonkStrategy-002,ES.SIM,SIM-001,O-20240105-172000-002-002-9,O-20240105-210000-002-002-10,SELL,FLAT,0,10,1704475200000000000,2024-01-05 17:20:00+00:00,1704488400000000000,2024-01-05 21:00:00+00:00,13200000000000,5045.33,5049.59,['0.00 USD'],-0.00084,-213.00 USD,True
ES.SIM-BrianStonkStrategy-002-b198415e-ed06-4a2e-a350-29c33ba2142d,BACKTESTER-002,BrianStonkStrategy-002,ES.SIM,SIM-001,O-20240109-161500-002-002-11,O-20240109-175500-002-002-12,BUY,FLAT,0,10,1704816900000000000,2024-01-09 16:15:00+00:00,1704822900000000000,2024-01-09 17:55:00+00:00,6000000000000,5098.91,5116.51,['0.00 USD'],0.00345,880.00 USD,True
ES.SIM-BrianStonkStrategy-002-aabc05c9-aa0b-47b4-bb0b-cf637104fef3,BACKTESTER-002,BrianStonkStrategy-002,ES.SIM,SIM-001,O-20240109-194000-002-002-13,O-20240109-210000-002-002-14,SELL,FLAT,0,10,1704829200000000000,2024-01-09 19:40:00+00:00,1704834000000000000,2024-01-09 21:00:00+00:00,4800000000000,5108.51,5110.91,['0.00 USD'],-0.00047,-120.00 USD,True
ES.SIM-BrianStonkStrategy-002-5439dd51-e5ce-4eb3-9624-9c4504d819f2,BACKTESTER-002,BrianStonkStrategy-002,ES.SIM,SIM-001,O-20240110-150500-002-002-15,O-20240110-180500-002-002-16,SELL,FLAT,0,10,1704899100000000000,2024-01-10 15:05:00+00:00,1704909900000000000,2024-01-10 18:05:00+00:00,10800000000000,5113.31,5131.17,['0.00 USD'],-0.00349,-893.00 USD,True
ES.SIM-BrianStonkStrategy-002-5391b2ed-3f86-4894-9eae-a880732b38f8,BACKTESTER-002,BrianStonkStrategy-002,ES.SIM,SIM-001,O-20240111-181500-002-002-17,O-20240111-194500-002-002-18,BUY,FLAT,0,10,1704996900000000000,2024-01-11 18:15:00+00:00,1705002300000000000,2024-01-11 19:45:00+00:00,5400000000000,5116.24,5130.64,['0.00 USD'],0.00281,720.00 USD,True
ES.SIM-BrianStonkStrategy-002-53396dc5-e17e-4b81-9858-aec6460aca2d,BACKTESTER-002,BrianStonkStrategy-002,ES.SIM,SIM-001,O-20240111-202500-002-002-19,O-20240111-210000-002-002-20,BUY,FLAT,0,10,1705004700000000000,2024-01-11 20:25:00+00:00,1705006800000000000,2024-01-11 21:00:00+00:00,2100000000000,5129.57,5134.1,['0.00 USD'],0.00088,226.50 USD,True
ES.SIM-BrianStonkStrategy-002-31d28af6-2d55-4e69-9082-854da392aed1,BACKTESTER-002,BrianStonkStrategy-002,ES.SIM,SIM-001,O-20240112-155000-002-002-21,O-20240112-210000-002-002-22,SELL,FLAT,0,10,1705074600000000000,2024-01-12 15:50:00+00:00,1705093200000000000,2024-01-12 21:00:00+00:00,18600000000000,5126.1,5136.23,['0.00 USD'],-0.00198,-506.50 USD,True
ES.SIM-BrianStonkStrategy-002-ffc55d2b-35aa-4a7c-910a-ab7106930bce,BACKTESTER-002,BrianStonkStrategy-002,ES.SIM,SIM-001,O-20240116-144000-002-002-23,O-20240116-154500-002-002-24,SELL,FLAT,0,10,1705416000000000000,2024-01-16 14:40:00+00:00,1705419900000000000,2024-01-16 15:45:00+00:00,3900000000000,5113.57,5131.43,['0.00 USD'],-0.00349,-893.00 USD,True
ES.SIM-BrianStonkStrategy-002-37701c9b-af71-44f1-bc04-2dc5bcfb91b6,BACKTESTER-002,BrianStonkStrategy-002,ES.SIM,SIM-001,O-20240116-161000-002-002-25,O-20240116-165500-002-002-26,BUY,FLAT,0,10,1705421400000000000,2024-01-16 16:10:00+00:00,1705424100000000000,2024-01-16 16:55:00+00:00,2700000000000,5121.3,5121.3,['0.00 USD'],0.0,0.00 USD,True
