client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20240102-085400-001-001-1,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-1-001,ES.SIM-IFVGRetestStrategy-001,SIM-001,SIM-1-595,MARKET,BUY,5,GTC,False,False,5,TAKER,5146.63,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,afb34adb-1b9d-4581-8524-6036c7c0b50a,2024-01-02 08:54:00+00:00,2024-01-02 08:54:00+00:00
O-20240102-094100-001-001-2,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-1-002,ES.SIM-IFVGRetestStrategy-001,SIM-001,SIM-1-643,MARKET,SELL,5,GTC,True,False,5,TAKER,5136.23,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,acbfa9ef-3c86-4c63-b89d-7888fa5f9742,2024-01-02 09:41:00+00:00,2024-01-02 09:41:00+00:00
O-20240102-115400-001-001-3,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-1-003,ES.SIM-IFVGRetestStrategy-001,SIM-001,SIM-1-777,MARKET,SELL,4,GTC,False,False,4,TAKER,5107.44,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b28c0990-2811-45e7-a567-5812221e9e4c,2024-01-02 11:54:00+00:00,2024-01-02 11:54:00+00:00
O-20240102-143300-001-001-4,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-1-004,ES.SIM-IFVGRetestStrategy-001,SIM-001,SIM-1-937,MARKET,BUY,4,GTC,True,False,4,TAKER,5107.18,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,6d0b1c83-bafd-460e-9f97-5791ca5627f2,2024-01-02 14:33:00+00:00,2024-01-02 14:33:00+00:00
O-20240102-150800-001-001-5,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-1-005,ES.SIM-IFVGRetestStrategy-001,SIM-001,SIM-1-973,MARKET,SELL,4,GTC,False,False,4,TAKER,5100.24,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c3aaf6a5-1c9c-4a25-87dd-54084682b965,2024-01-02 15:08:00+00:00,2024-01-02 15:08:00+00:00
O-20240102-161100-001-001-6,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-1-006,ES.SIM-IFVGRetestStrategy-001,SIM-001,SIM-1-1037,MARKET,BUY,4,GTC,True,False,4,TAKER,5100.78,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2d89d92a-40e2-470a-b72c-d6e35be34a4f,2024-01-02 16:11:00+00:00,2024-01-02 16:11:00+00:00
O-20240103-093200-001-001-7,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-1-007,ES.SIM-IFVGRetestStrategy-001,SIM-001,SIM-1-2019,MARKET,BUY,4,GTC,False,False,4,TAKER,5096.25,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,9d3fd97b-f31f-4cd4-b27c-94a58973d787,2024-01-03 09:32:00+00:00,2024-01-03 09:32:00+00:00
O-20240103-122200-001-001-8,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-1-008,ES.SIM-IFVGRetestStrategy-001,SIM-001,SIM-1-2190,MARKET,SELL,4,GTC,True,False,4,TAKER,5086.38,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f6168b61-300a-4de3-85c0-d787299d988a,2024-01-03 12:22:00+00:00,2024-01-03 12:22:00+00:00
O-20240103-124600-001-001-9,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-1-009,ES.SIM-IFVGRetestStrategy-001,SIM-001,SIM-1-2215,MARKET,SELL,4,GTC,False,False,4,TAKER,5082.92,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b80eadc1-6630-4d8e-a7ec-7e8ce1d49b4b,2024-01-03 12:46:00+00:00,2024-01-03 12:46:00+00:00
O-20240103-150100-001-001-10,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-1-010,ES.SIM-IFVGRetestStrategy-001,SIM-001,SIM-1-2351,MARKET,BUY,4,GTC,True,False,4,TAKER,5079.18,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d717685d-3ef6-4833-8701-86ec56177f81,2024-01-03 15:01:00+00:00,2024-01-03 15:01:00+00:00
O-20240103-165500-001-001-11,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-1-011,ES.SIM-IFVGRetestStrategy-001,SIM-001,SIM-1-2466,MARKET,SELL,4,GTC,False,False,4,TAKER,5069.32,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,de005fec-63b1-4635-bdf9-d88c4400a6c8,2024-01-03 16:55:00+00:00,2024-01-03 16:55:00+00:00
O-20240103-180100-001-001-12,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-1-012,ES.SIM-IFVGRetestStrategy-001,SIM-001,SIM-1-2533,MARKET,BUY,4,GTC,True,False,4,TAKER,5079.45,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,14024978-294a-447e-b2b3-0955c7451ebb,2024-01-03 18:01:00+00:00,2024-01-03 18:01:00+00:00
O-20240104-070300-001-001-13,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-1-013,ES.SIM-IFVGRetestStrategy-001,SIM-001,SIM-1-3256,MARKET,BUY,4,GTC,False,False,4,TAKER,5069.05,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,735ec5dc-b73f-460d-9a57-99eeee50a7e4,2024-01-04 07:03:00+00:00,2024-01-04 07:03:00+00:00
O-20240104-120700-001-001-14,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-1-014,ES.SIM-IFVGRetestStrategy-001,SIM-001,SIM-1-3561,MARKET,SELL,4,GTC,True,False,4,TAKER,5058.66,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2f096408-fa3e-4495-95ce-940571876dc1,2024-01-04 12:07:00+00:00,2024-01-04 12:07:00+00:00
O-20240104-163400-001-001-15,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-1-015,ES.SIM-IFVGRetestStrategy-001,SIM-001,SIM-1-3829,MARKET,SELL,4,GTC,False,False,4,TAKER,5077.85,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ddf82c03-f52f-475d-a502-3ffe3e83171e,2024-01-04 16:34:00+00:00,2024-01-04 16:34:00+00:00
