position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
ES.SIM-IFVGRetestStrategy-001-5d966dfe-0d6e-4ac7-a2de-d388734f8f3f,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240102-085400-001-001-1,O-20240102-094100-001-001-2,BUY,FLAT,0,10,1704185640000000000,2024-01-02 08:54:00+00:00,1704188460000000000,2024-01-02 09:41:00+00:00,2820000000000,5146.63,5136.23,['0.00 USD'],-0.00202,-520.00 USD,True
ES.SIM-IFVGRetestStrategy-001-3b8226d4-ebf0-4171-8b72-3473a2a3a31c,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240102-115400-001-001-3,O-20240102-143300-001-001-4,SELL,FLAT,0,10,1704196440000000000,2024-01-02 11:54:00+00:00,1704205980000000000,2024-01-02 14:33:00+00:00,9540000000000,5107.44,5107.18,['0.00 USD'],5e-05,13.00 USD,True
ES.SIM-IFVGRetestStrategy-001-6ef61f3a-5d96-4738-a255-8317fb6b8a53,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240102-150800-001-001-5,O-20240102-161100-001-001-6,SELL,FLAT,0,10,1704208080000000000,2024-01-02 15:08:00+00:00,1704211860000000000,2024-01-02 16:11:00+00:00,3780000000000,5100.24,5100.78,['0.00 USD'],-0.00011,-27.00 USD,True
ES.SIM-IFVGRetestStrategy-001-57b947aa-05ae-4d98-87f1-efea876238b1,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240103-093200-001-001-7,O-20240103-122200-001-001-8,BUY,FLAT,0,10,1704274320000000000,2024-01-03 09:32:00+00:00,1704284520000000000,2024-01-03 12:22:00+00:00,10200000000000,5096.25,5086.38,['0.00 USD'],-0.00194,-493.50 USD,True
ES.SIM-IFVGRetestStrategy-001-d2528bb3-6b9b-4417-a897-f795839a970a,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240103-124600-001-001-9,O-20240103-150100-001-001-10,SELL,FLAT,0,10,1704285960000000000,2024-01-03 12:46:00+00:00,1704294060000000000,2024-01-03 15:01:00+00:00,8100000000000,5082.92,5079.18,['0.00 USD'],0.00074,187.00 USD,True
ES.SIM-IFVGRetestStrategy-001-91921544-b6e7-4dd1-9379-24d253afe32b,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240103-165500-001-001-11,O-20240103-180100-001-001-12,SELL,FLAT,0,10,1704300900000000000,2024-01-03 16:55:00+00:00,1704304860000000000,2024-01-03 18:01:00+00:00,3960000000000,5069.32,5079.45,['0.00 USD'],-0.002,-506.50 USD,True
ES.SIM-IFVGRetestStrategy-001-8c0c5357-dbca-4ad8-b840-5de3f7c96a89,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240104-070300-001-001-13,O-20240104-120700-001-001-14,BUY,FLAT,0,10,1704351780000000000,2024-01-04 07:03:00+00:00,1704370020000000000,2024-01-04 12:07:00+00:00,18240000000000,5069.05,5058.66,['0.00 USD'],-0.00205,-519.50 USD,True
ES.SIM-IFVGRetestStrategy-001-78e99cbf-fdd7-40cc-ad5e-a3aabd6aeec5,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240104-163400-001-001-15,O-20240104-214100-001-001-17,SELL,FLAT,0,10,1704386040000000000,2024-01-04 16:34:00+00:00,1704404460000000000,2024-01-04 21:41:00+00:00,18420000000000,5077.85,5052.396000000001,['0.00 USD'],0.00501,1272.70 USD,True
ES.SIM-IFVGRetestStrategy-001-782c5357-b269-445e-a6f6-4408eaccf976,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240105-134200-001-001-18,O-20240105-163000-001-001-20,BUY,FLAT,0,10,1704462120000000000,2024-01-05 13:42:00+00:00,1704472200000000000,2024-01-05 16:30:00+00:00,10080000000000,5018.94,5050.925,['0.00 USD'],0.00637,1599.25 USD,True
ES.SIM-IFVGRetestStrategy-001-bf9140ce-404b-40a8-a2d3-0a709acd1ff8,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240105-163300-001-001-21,O-20240105-170800-001-001-22,BUY,FLAT,0,10,1704472380000000000,2024-01-05 16:33:00+00:00,1704474480000000000,2024-01-05 17:08:00+00:00,2100000000000,5062.92,5053.06,['0.00 USD'],-0.00195,-493.00 USD,True
ES.SIM-IFVGRetestStrategy-001-a9e9a8e0-a904-420b-b393-d41ee1438b0d,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240105-172900-001-001-23,O-20240105-184000-001-001-24,SELL,FLAT,0,10,1704475740000000000,2024-01-05 17:29:00+00:00,1704480000000000000,2024-01-05 18:40:00+00:00,4260000000000,5043.46,5055.73,['0.00 USD'],-0.00243,-613.50 USD,True
ES.SIM-IFVGRetestStrategy-001-23bf2001-0454-42d8-9e27-3ba0df3f0c42,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240108-091400-001-001-25,O-20240108-093100-001-001-26,BUY,FLAT,0,10,1704705240000000000,2024-01-08 09:14:00+00:00,1704706260000000000,2024-01-08 09:31:00+00:00,1020000000000,5041.33,5031.47,['0.00 USD'],-0.00196,-493.00 USD,True
ES.SIM-IFVGRetestStrategy-001-2a2823d4-f87b-49de-8bd6-21f8377eeceb,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240108-095800-001-001-27,O-20240108-121500-001-001-28,SELL,FLAT,0,10,1704707880000000000,2024-01-08 09:58:00+00:00,1704716100000000000,2024-01-08 12:15:00+00:00,8220000000000,5038.4,5048.26,['0.00 USD'],-0.00196,-493.00 USD,True
ES.SIM-IFVGRetestStrategy-001-ddb37de7-7553-40c4-9970-dbbe58123441,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240108-130400-001-001-29,O-20240108-214100-001-001-31,BUY,FLAT,0,10,1704719040000000000,2024-01-08 13:04:00+00:00,1704750060000000000,2024-01-08 21:41:00+00:00,31020000000000,5050.13,5093.3150000000005,['0.00 USD'],0.00855,2159.25 USD,True
ES.SIM-IFVGRetestStrategy-001-9433b602-d00a-4a83-bf7d-55a68e7455ae,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240109-071300-001-001-32,O-20240109-151600-001-001-34,SELL,FLAT,0,10,1704784380000000000,2024-01-09 07:13:00+00:00,1704813360000000000,2024-01-09 15:16:00+00:00,28980000000000,5113.57,5095.85,['0.00 USD'],0.00347,886.00 USD,True
ES.SIM-IFVGRetestStrategy-001-88eccb23-d08a-44c9-8f85-66fcfa8214be,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240109-175100-001-001-35,O-20240109-185100-001-001-36,SELL,FLAT,0,10,1704822660000000000,2024-01-09 17:51:00+00:00,1704826260000000000,2024-01-09 18:51:00+00:00,3600000000000,5114.37,5115.17,['0.00 USD'],-0.00016,-40.00 USD,True
ES.SIM-IFVGRetestStrategy-001-3bd5acec-a08e-41ed-ba68-888fe184c207,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240109-202700-001-001-37,O-20240109-214100-001-001-38,SELL,FLAT,0,10,1704832020000000000,2024-01-09 20:27:00+00:00,1704836460000000000,2024-01-09 21:41:00+00:00,4440000000000,5110.64,5108.78,['0.00 USD'],0.00036,93.00 USD,True
ES.SIM-IFVGRetestStrategy-001-1e04f9ca-a71d-42e0-bc7a-913bf53e2281,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240110-061300-001-001-39,O-20240110-115000-001-001-40,BUY,FLAT,0,10,1704867180000000000,2024-01-10 06:13:00+00:00,1704887400000000000,2024-01-10 11:50:00+00:00,20220000000000,5108.51,5108.78,['0.00 USD'],5e-05,13.50 USD,True
ES.SIM-IFVGRetestStrategy-001-24ba6596-ea3c-4c97-9334-d71bf23e38b0,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240110-125800-001-001-41,O-20240110-143600-001-001-42,SELL,FLAT,0,10,1704891480000000000,2024-01-10 12:58:00+00:00,1704897360000000000,2024-01-10 14:36:00+00:00,5880000000000,5110.91,5122.1,['0.00 USD'],-0.00219,-559.50 USD,True
ES.SIM-IFVGRetestStrategy-001-ed3401f9-1a32-416b-9b40-32780bdbc056,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240110-175300-001-001-43,O-20240110-202500-001-001-45,BUY,FLAT,0,10,1704909180000000000,2024-01-10 17:53:00+00:00,1704918300000000000,2024-01-10 20:25:00+00:00,9120000000000,5125.57,5139.7,['0.00 USD'],0.00276,706.50 USD,True
ES.SIM-IFVGRetestStrategy-001-34faf538-c7a9-48aa-8ce8-3d87bf51e1f0,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240111-092400-001-001-46,O-20240111-133100-001-001-47,BUY,FLAT,0,10,1704965040000000000,2024-01-11 09:24:00+00:00,1704979860000000000,2024-01-11 13:31:00+00:00,14820000000000,5151.96,5135.97,['0.00 USD'],-0.0031,-799.50 USD,True
ES.SIM-IFVGRetestStrategy-001-d5a09303-018e-41a5-af9a-6393ab89ac60,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240111-144500-001-001-48,O-20240111-152200-001-001-50,SELL,FLAT,0,10,1704984300000000000,2024-01-11 14:45:00+00:00,1704986520000000000,2024-01-11 15:22:00+00:00,2220000000000,5141.83,5118.7699999999995,['0.00 USD'],0.00448,1153.00 USD,True
ES.SIM-IFVGRetestStrategy-001-2fc38c6c-b14f-49cf-819c-deadadd3ec45,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240111-161000-001-001-51,O-20240111-174200-001-001-52,SELL,FLAT,0,10,1704989400000000000,2024-01-11 16:10:00+00:00,1704994920000000000,2024-01-11 17:42:00+00:00,5520000000000,5106.11,5105.58,['0.00 USD'],0.0001,26.50 USD,True
ES.SIM-IFVGRetestStrategy-001-abf651b9-fcbe-4dbb-8ae5-138e653561d5,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240112-085300-001-001-53,O-20240112-123400-001-001-55,SELL,FLAT,0,10,1705049580000000000,2024-01-12 08:53:00+00:00,1705062840000000000,2024-01-12 12:34:00+00:00,13260000000000,5134.9,5117.4400000000005,['0.00 USD'],0.0034,873.00 USD,True
ES.SIM-IFVGRetestStrategy-001-cfa5890a-e36f-49e7-8cd0-f042808a612f,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240112-134300-001-001-56,O-20240112-142600-001-001-57,SELL,FLAT,0,10,1705066980000000000,2024-01-12 13:43:00+00:00,1705069560000000000,2024-01-12 14:26:00+00:00,2580000000000,5131.43,5145.03,['0.00 USD'],-0.00265,-680.00 USD,True
ES.SIM-IFVGRetestStrategy-001-3fa10d54-1275-4b59-bd29-c20ec899732d,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240112-154700-001-001-58,O-20240112-160900-001-001-59,SELL,FLAT,0,10,1705074420000000000,2024-01-12 15:47:00+00:00,1705075740000000000,2024-01-12 16:09:00+00:00,1320000000000,5133.83,5133.83,['0.00 USD'],0.0,0.00 USD,True
ES.SIM-IFVGRetestStrategy-001-f24fe2ac-c47e-4aa5-83ae-9055cd3acf17,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240115-082600-001-001-60,O-20240115-230100-001-001-61,SELL,FLAT,0,10,1705307160000000000,2024-01-15 08:26:00+00:00,1705359660000000000,2024-01-15 23:01:00+00:00,52500000000000,5139.97,5130.9,['0.00 USD'],0.00176,453.50 USD,True
ES.SIM-IFVGRetestStrategy-001-d5440f1c-a5ba-45ae-9cd0-f25c8b7a6cc8,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240116-091500-001-001-62,O-20240116-132600-001-001-63,BUY,FLAT,0,10,1705396500000000000,2024-01-16 09:15:00+00:00,1705411560000000000,2024-01-16 13:26:00+00:00,15060000000000,5111.97,5113.57,['0.00 USD'],0.00031,80.00 USD,True
