client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20240102-071000-003-003-1,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-001,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-099,MARKET,BUY,5,GTC,False,False,5,TAKER,5141.03,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,52c33949-8327-498f-8f7a-913086991f6f,2024-01-02 07:10:00+00:00,2024-01-02 07:10:00+00:00
O-20240102-080500-003-003-2,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-002,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-111,MARKET,SELL,1,GTC,False,False,1,TAKER,5145.83,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,87e66e89-83ab-465d-82fe-03cbc8628b45,2024-01-02 08:05:00+00:00,2024-01-02 08:05:00+00:00
O-20240102-092000-003-003-3,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-003,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-127,MARKET,SELL,4,GTC,True,False,4,TAKER,5140.77,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2a7f7e46-cd5b-438c-a2ef-e806f9008466,2024-01-02 09:20:00+00:00,2024-01-02 09:20:00+00:00
O-20240103-072500-003-003-4,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-004,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-381,MARKET,BUY,5,GTC,False,False,5,TAKER,5102.64,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f270b696-8ef1-4c8b-9556-c18e4329e1ff,2024-01-03 07:25:00+00:00,2024-01-03 07:25:00+00:00
O-20240103-085500-003-003-5,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-005,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-400,MARKET,SELL,5,GTC,True,False,5,TAKER,5098.91,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a784aa7b-d273-435e-8463-343d6b27195a,2024-01-03 08:55:00+00:00,2024-01-03 08:55:00+00:00
O-20240104-095500-003-003-6,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-006,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-689,MARKET,BUY,4,GTC,False,False,4,TAKER,5068.52,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c717ba7f-f745-4725-9759-e0ef7a21a1b3,2024-01-04 09:55:00+00:00,2024-01-04 09:55:00+00:00
O-20240104-100500-003-003-7,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-007,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-692,MARKET,SELL,4,GTC,True,False,4,TAKER,5066.66,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2f7adffb-c43e-4d3c-9fa5-1003b2248447,2024-01-04 10:05:00+00:00,2024-01-04 10:05:00+00:00
O-20240104-150500-003-003-8,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-008,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-753,MARKET,BUY,4,GTC,False,False,4,TAKER,5069.32,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,328df31e-c608-41e4-9962-cf26ba636892,2024-01-04 15:05:00+00:00,2024-01-04 15:05:00+00:00
O-20240104-165500-003-003-9,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-009,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-776,MARKET,SELL,4,GTC,True,False,4,TAKER,5069.59,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5fa11a0b-2e77-4855-abd2-09261b87d638,2024-01-04 16:55:00+00:00,2024-01-04 16:55:00+00:00
O-20240105-081500-003-003-10,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-010,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-949,MARKET,BUY,4,GTC,False,False,4,TAKER,5040.0,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b5526fa2-30ef-47b6-b4f9-01f11c5b7392,2024-01-05 08:15:00+00:00,2024-01-05 08:15:00+00:00
O-20240105-083500-003-003-11,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-1-011,ES.SIM-MagicLineStrategy-003,SIM-001,SIM-1-954,MARKET,SELL,4,GTC,True,False,4,TAKER,5038.66,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,fb4ed448-4f8c-480b-9e08-7a52b9d40836,2024-01-05 08:35:00+00:00,2024-01-05 08:35:00+00:00
