position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
ES.SIM-MagicLineStrategy-003-9d741ab4-799a-4e6e-b085-5a2b91c4d8b7,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240102-071000-003-003-1,O-20240102-092000-003-003-3,BUY,FLAT,0,5,1704179400000000000,2024-01-02 07:10:00+00:00,1704187200000000000,2024-01-02 09:20:00+00:00,7800000000000,5141.03,5141.782000000001,['0.00 USD'],0.00015,18.80 USD,True
ES.SIM-MagicLineStrategy-003-51a46903-93cc-49a6-b2ec-7887badcca03,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240103-072500-003-003-4,O-20240103-085500-003-003-5,BUY,FLAT,0,5,1704266700000000000,2024-01-03 07:25:00+00:00,1704272100000000000,2024-01-03 08:55:00+00:00,5400000000000,5102.64,5098.91,['0.00 USD'],-0.00073,-93.25 USD,True
ES.SIM-MagicLineStrategy-003-e1e3ea29-ec49-444c-a0f3-4f1403911425,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240104-095500-003-003-6,O-20240104-100500-003-003-7,BUY,FLAT,0,4,1704362100000000000,2024-01-04 09:55:00+00:00,1704362700000000000,2024-01-04 10:05:00+00:00,600000000000,5068.52,5066.66,['0.00 USD'],-0.00037,-37.20 USD,True
ES.SIM-MagicLineStrategy-003-6e3cf6ec-e00e-4d5e-b061-28bc8e939b56,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240104-150500-003-003-8,O-20240104-165500-003-003-9,BUY,FLAT,0,4,1704380700000000000,2024-01-04 15:05:00+00:00,1704387300000000000,2024-01-04 16:55:00+00:00,6600000000000,5069.32,5069.59,['0.00 USD'],5e-05,5.40 USD,True
ES.SIM-MagicLineStrategy-003-d439ab81-0d8c-4704-b2a7-e1dc24c90d8a,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240105-081500-003-003-10,O-20240105-083500-003-003-11,BUY,FLAT,0,4,1704442500000000000,2024-01-05 08:15:00+00:00,1704443700000000000,2024-01-05 08:35:00+00:00,1200000000000,5040.0,5038.66,['0.00 USD'],-0.00027,-26.80 USD,True
ES.SIM-MagicLineStrategy-003-ea32d24f-a7d1-47a3-bde5-e2fa81b21e1c,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240105-092500-003-003-12,O-20240105-093000-003-003-13,BUY,FLAT,0,4,1704446700000000000,2024-01-05 09:25:00+00:00,1704447000000000000,2024-01-05 09:30:00+00:00,300000000000,5037.6,5036.27,['0.00 USD'],-0.00026,-26.60 USD,True
ES.SIM-MagicLineStrategy-003-cfa16581-4cd6-4d29-a5bd-b32d92329d57,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240105-120500-003-003-14,O-20240105-121000-003-003-15,BUY,FLAT,0,4,1704456300000000000,2024-01-05 12:05:00+00:00,1704456600000000000,2024-01-05 12:10:00+00:00,300000000000,5030.4,5028.0,['0.00 USD'],-0.00048,-48.00 USD,True
ES.SIM-MagicLineStrategy-003-c491665b-5d85-4048-80d0-f857d8f3af45,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240108-075000-003-003-16,O-20240108-080000-003-003-17,BUY,FLAT,0,4,1704700200000000000,2024-01-08 07:50:00+00:00,1704700800000000000,2024-01-08 08:00:00+00:00,600000000000,5045.6,5043.46,['0.00 USD'],-0.00042,-42.80 USD,True
ES.SIM-MagicLineStrategy-003-1fe624b8-ec4c-4471-b3fe-4d41630d1503,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240108-082000-003-003-18,O-20240108-090500-003-003-19,BUY,FLAT,0,4,1704702000000000000,2024-01-08 08:20:00+00:00,1704704700000000000,2024-01-08 09:05:00+00:00,2700000000000,5046.66,5040.26,['0.00 USD'],-0.00127,-128.00 USD,True
ES.SIM-MagicLineStrategy-003-7258263f-be06-47ce-a057-405b47ec2386,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240109-071000-003-003-20,O-20240109-072000-003-003-21,BUY,FLAT,0,4,1704784200000000000,2024-01-09 07:10:00+00:00,1704784800000000000,2024-01-09 07:20:00+00:00,600000000000,5114.37,5114.11,['0.00 USD'],-5e-05,-5.20 USD,True
ES.SIM-MagicLineStrategy-003-a6f904d6-7df9-48c8-bba1-4f187ba084ec,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240109-103500-003-003-22,O-20240109-104500-003-003-23,BUY,FLAT,0,4,1704796500000000000,2024-01-09 10:35:00+00:00,1704797100000000000,2024-01-09 10:45:00+00:00,600000000000,5105.84,5103.71,['0.00 USD'],-0.00042,-42.60 USD,True
ES.SIM-MagicLineStrategy-003-f1d5f888-b0a1-480a-9d6f-2551a8005999,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240109-125000-003-003-24,O-20240109-130500-003-003-25,BUY,FLAT,0,4,1704804600000000000,2024-01-09 12:50:00+00:00,1704805500000000000,2024-01-09 13:05:00+00:00,900000000000,5101.04,5098.38,['0.00 USD'],-0.00052,-53.20 USD,True
ES.SIM-MagicLineStrategy-003-8c92b0d3-c995-4c9b-a3a8-5e9bc905d6ff,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240110-071500-003-003-26,O-20240110-093500-003-003-28,BUY,FLAT,0,4,1704870900000000000,2024-01-10 07:15:00+00:00,1704879300000000000,2024-01-10 09:35:00+00:00,8400000000000,5106.38,5119.24,['0.00 USD'],0.00252,257.20 USD,True
ES.SIM-MagicLineStrategy-003-1c07b4da-908f-4f18-83a0-29fab99ee976,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240110-111500-003-003-29,O-20240110-112500-003-003-30,BUY,FLAT,0,4,1704885300000000000,2024-01-10 11:15:00+00:00,1704885900000000000,2024-01-10 11:25:00+00:00,600000000000,5116.24,5113.57,['0.00 USD'],-0.00052,-53.40 USD,True
ES.SIM-MagicLineStrategy-003-6989bc47-0966-421f-a033-fe9a1b86ecc3,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240110-123000-003-003-31,O-20240110-123500-003-003-32,BUY,FLAT,0,4,1704889800000000000,2024-01-10 12:30:00+00:00,1704890100000000000,2024-01-10 12:35:00+00:00,300000000000,5114.64,5112.51,['0.00 USD'],-0.00042,-42.60 USD,True
ES.SIM-MagicLineStrategy-003-0eaa7e65-d417-422f-8dd6-4d8b73eddecc,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240112-072000-003-003-33,O-20240112-073000-003-003-34,BUY,FLAT,0,4,1705044000000000000,2024-01-12 07:20:00+00:00,1705044600000000000,2024-01-12 07:30:00+00:00,600000000000,5128.5,5124.5,['0.00 USD'],-0.00078,-80.00 USD,True
ES.SIM-MagicLineStrategy-003-f99c3cb4-96b4-449c-9f29-ec630e0c0eec,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240115-121000-003-003-35,O-20240115-130000-003-003-36,BUY,FLAT,0,4,1705320600000000000,2024-01-15 12:10:00+00:00,1705323600000000000,2024-01-15 13:00:00+00:00,3000000000000,5132.5,5128.77,['0.00 USD'],-0.00073,-74.60 USD,True
ES.SIM-MagicLineStrategy-003-d367eac9-45ed-4f93-bd0b-057975f83a86,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240117-083000-003-003-37,O-20240117-083500-003-003-38,BUY,FLAT,0,4,1705480200000000000,2024-01-17 08:30:00+00:00,1705480500000000000,2024-01-17 08:35:00+00:00,300000000000,5094.91,5094.11,['0.00 USD'],-0.00016,-16.00 USD,True
ES.SIM-MagicLineStrategy-003-28fb71ae-4fdc-4714-8e33-c68f7f739c42,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240117-092500-003-003-39,O-20240117-133500-003-003-40,BUY,FLAT,0,4,1705483500000000000,2024-01-17 09:25:00+00:00,1705498500000000000,2024-01-17 13:35:00+00:00,15000000000000,5091.45,5093.58,['0.00 USD'],0.00042,42.60 USD,True
ES.SIM-MagicLineStrategy-003-cbb3fa2a-607f-4ca3-893e-441853c1e1c0,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240117-160000-003-003-41,O-20240117-172500-003-003-42,BUY,FLAT,0,4,1705507200000000000,2024-01-17 16:00:00+00:00,1705512300000000000,2024-01-17 17:25:00+00:00,5100000000000,5084.25,5079.98,['0.00 USD'],-0.00084,-85.40 USD,True
ES.SIM-MagicLineStrategy-003-572f858a-b9e1-4fc7-8b3b-3a98aaa04f64,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240122-072000-003-003-43,O-20240122-074000-003-003-44,BUY,FLAT,0,4,1705908000000000000,2024-01-22 07:20:00+00:00,1705909200000000000,2024-01-22 07:40:00+00:00,1200000000000,5205.81,5204.48,['0.00 USD'],-0.00026,-26.60 USD,True
ES.SIM-MagicLineStrategy-003-6ab898a8-417b-4b48-8803-240cdfe2bea5,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240122-090000-003-003-45,O-20240122-153500-003-003-47,BUY,FLAT,0,4,1705914000000000000,2024-01-22 09:00:00+00:00,1705937700000000000,2024-01-22 15:35:00+00:00,23700000000000,5205.81,5212.01,['0.00 USD'],0.00119,124.00 USD,True
ES.SIM-MagicLineStrategy-003-6eca1105-7c8b-46be-9eff-ba8af9a07983,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240122-185000-003-003-48,O-20240122-192000-003-003-49,BUY,FLAT,0,4,1705949400000000000,2024-01-22 18:50:00+00:00,1705951200000000000,2024-01-22 19:20:00+00:00,1800000000000,5205.28,5201.55,['0.00 USD'],-0.00072,-74.60 USD,True
ES.SIM-MagicLineStrategy-003-b57f84b9-6119-4fcd-8201-313196fda2e7,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240123-094500-003-003-50,O-20240123-100500-003-003-51,BUY,FLAT,0,4,1706003100000000000,2024-01-23 09:45:00+00:00,1706004300000000000,2024-01-23 10:05:00+00:00,1200000000000,5206.61,5204.21,['0.00 USD'],-0.00046,-48.00 USD,True
ES.SIM-MagicLineStrategy-003-ab98a1ec-b8ca-4990-93bb-aa4b03ba14b8,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240124-124000-003-003-52,O-20240124-144500-003-003-54,BUY,FLAT,0,4,1706100000000000000,2024-01-24 12:40:00+00:00,1706107500000000000,2024-01-24 14:45:00+00:00,7500000000000,5243.4,5246.0,['0.00 USD'],0.0005,52.00 USD,True
ES.SIM-MagicLineStrategy-003-639e95f0-8866-4411-9021-7cf3160d77cc,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240124-152000-003-003-55,O-20240124-152500-003-003-56,BUY,FLAT,0,4,1706109600000000000,2024-01-24 15:20:00+00:00,1706109900000000000,2024-01-24 15:25:00+00:00,300000000000,5244.47,5244.73,['0.00 USD'],5e-05,5.20 USD,True
ES.SIM-MagicLineStrategy-003-7e5b8930-59cd-44a8-9f74-a15389e75fd9,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240125-123000-003-003-57,O-20240125-125500-003-003-58,BUY,FLAT,0,4,1706185800000000000,2024-01-25 12:30:00+00:00,1706187300000000000,2024-01-25 12:55:00+00:00,1500000000000,5226.6,5223.94,['0.00 USD'],-0.00051,-53.20 USD,True
ES.SIM-MagicLineStrategy-003-919a2497-cd7b-4ce7-857e-67baffe16ad8,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240125-181000-003-003-59,O-20240125-181500-003-003-60,BUY,FLAT,0,4,1706206200000000000,2024-01-25 18:10:00+00:00,1706206500000000000,2024-01-25 18:15:00+00:00,300000000000,5238.87,5237.27,['0.00 USD'],-0.00031,-32.00 USD,True
ES.SIM-MagicLineStrategy-003-f63f4cc7-86ce-4abb-b64b-e49ab0714dbf,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240126-134500-003-003-61,O-20240126-141500-003-003-62,BUY,FLAT,0,4,1706276700000000000,2024-01-26 13:45:00+00:00,1706278500000000000,2024-01-26 14:15:00+00:00,1800000000000,5249.53,5241.8,['0.00 USD'],-0.00147,-154.60 USD,True
ES.SIM-MagicLineStrategy-003-11d20846-257d-470e-a018-b36a4f9d84aa,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240129-102500-003-003-63,O-20240129-125500-003-003-65,BUY,FLAT,0,4,1706523900000000000,2024-01-29 10:25:00+00:00,1706532900000000000,2024-01-29 12:55:00+00:00,9000000000000,5243.13,5244.8625,['0.00 USD'],0.00033,34.65 USD,True
ES.SIM-MagicLineStrategy-003-7cf0c826-9b1a-405e-9e60-61af8a546393,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240129-143500-003-003-66,O-20240129-153000-003-003-67,BUY,FLAT,0,4,1706538900000000000,2024-01-29 14:35:00+00:00,1706542200000000000,2024-01-29 15:30:00+00:00,3300000000000,5246.6,5244.47,['0.00 USD'],-0.00041,-42.60 USD,True
ES.SIM-MagicLineStrategy-003-fe71c622-b2a8-4350-94a2-9a448a9267c1,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240130-083500-003-003-68,O-20240130-085000-003-003-69,BUY,FLAT,0,4,1706603700000000000,2024-01-30 08:35:00+00:00,1706604600000000000,2024-01-30 08:50:00+00:00,900000000000,5281.25,5279.12,['0.00 USD'],-0.0004,-42.60 USD,True
ES.SIM-MagicLineStrategy-003-dd047349-20a0-4067-8076-66518d3f8fd4,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240130-115500-003-003-70,O-20240130-124000-003-003-71,BUY,FLAT,0,4,1706615700000000000,2024-01-30 11:55:00+00:00,1706618400000000000,2024-01-30 12:40:00+00:00,2700000000000,5277.26,5274.86,['0.00 USD'],-0.00045,-48.00 USD,True
ES.SIM-MagicLineStrategy-003-1e9e3bd8-9a57-46c2-a783-e76c5574d4ee,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240130-143500-003-003-72,O-20240130-150500-003-003-73,BUY,FLAT,0,4,1706625300000000000,2024-01-30 14:35:00+00:00,1706627100000000000,2024-01-30 15:05:00+00:00,1800000000000,5279.12,5276.19,['0.00 USD'],-0.00056,-58.60 USD,True
ES.SIM-MagicLineStrategy-003-3859828d-385f-43de-8634-4d07bd58f1c2,BACKTESTER-003,MagicLineStrategy-003,ES.SIM,SIM-001,O-20240201-075500-003-003-74,O-20240201-124500-003-003-76,BUY,FLAT,0,4,1706774100000000000,2024-02-01 07:55:00+00:00,1706791500000000000,2024-02-01 12:45:00+00:00,17400000000000,5204.21,5217.2075,['0.00 USD'],0.0025,259.95 USD,True
