position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
ES.SIM-IFVGRetestStrategy-001-bbf40e20-8456-4f7e-a028-bc75dc9a5dbc,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240102-085400-001-001-1,O-20240102-094100-001-001-2,BUY,FLAT,0,5,1704185640000000000,2024-01-02 08:54:00+00:00,1704188460000000000,2024-01-02 09:41:00+00:00,2820000000000,5146.63,5136.23,['0.00 USD'],-0.00202,-260.00 USD,True
ES.SIM-IFVGRetestStrategy-001-cb88b818-c018-45ed-8479-98888659e778,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240102-115400-001-001-3,O-20240102-143300-001-001-4,SELL,FLAT,0,4,1704196440000000000,2024-01-02 11:54:00+00:00,1704205980000000000,2024-01-02 14:33:00+00:00,9540000000000,5107.44,5107.18,['0.00 USD'],5e-05,5.20 USD,True
ES.SIM-IFVGRetestStrategy-001-f1c7dc59-0a8f-42ee-915d-8474bd2e162e,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240102-150800-001-001-5,O-20240102-161100-001-001-6,SELL,FLAT,0,4,1704208080000000000,2024-01-02 15:08:00+00:00,1704211860000000000,2024-01-02 16:11:00+00:00,3780000000000,5100.24,5100.78,['0.00 USD'],-0.00011,-10.80 USD,True
ES.SIM-IFVGRetestStrategy-001-3b7054d9-5430-4135-b547-bb244aa5485a,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240103-093200-001-001-7,O-20240103-122200-001-001-8,BUY,FLAT,0,4,1704274320000000000,2024-01-03 09:32:00+00:00,1704284520000000000,2024-01-03 12:22:00+00:00,10200000000000,5096.25,5086.38,['0.00 USD'],-0.00194,-197.40 USD,True
ES.SIM-IFVGRetestStrategy-001-31983394-d4af-4d71-b04b-16db7c171362,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240103-124600-001-001-9,O-20240103-150100-001-001-10,SELL,FLAT,0,4,1704285960000000000,2024-01-03 12:46:00+00:00,1704294060000000000,2024-01-03 15:01:00+00:00,8100000000000,5082.92,5079.18,['0.00 USD'],0.00074,74.80 USD,True
ES.SIM-IFVGRetestStrategy-001-de5aa4b5-b644-4ea8-8f1a-1809d6d05898,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240103-165500-001-001-11,O-20240103-180100-001-001-12,SELL,FLAT,0,4,1704300900000000000,2024-01-03 16:55:00+00:00,1704304860000000000,2024-01-03 18:01:00+00:00,3960000000000,5069.32,5079.45,['0.00 USD'],-0.002,-202.60 USD,True
ES.SIM-IFVGRetestStrategy-001-16ddd532-a64d-4da3-9658-c55cd392717a,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240104-070300-001-001-13,O-20240104-120700-001-001-14,BUY,FLAT,0,4,1704351780000000000,2024-01-04 07:03:00+00:00,1704370020000000000,2024-01-04 12:07:00+00:00,18240000000000,5069.05,5058.66,['0.00 USD'],-0.00205,-207.80 USD,True
ES.SIM-IFVGRetestStrategy-001-cbb0a5fc-44ed-43fc-bf9b-5c1c995981f1,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240104-163400-001-001-15,O-20240104-214100-001-001-17,SELL,FLAT,0,4,1704386040000000000,2024-01-04 16:34:00+00:00,1704404460000000000,2024-01-04 21:41:00+00:00,18420000000000,5077.85,5052.395,['0.00 USD'],0.00501,509.10 USD,True
ES.SIM-IFVGRetestStrategy-001-820b4fa6-5879-4d5b-b093-10d3c8f3a473,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240105-134200-001-001-18,O-20240105-163000-001-001-20,BUY,FLAT,0,4,1704462120000000000,2024-01-05 13:42:00+00:00,1704472200000000000,2024-01-05 16:30:00+00:00,10080000000000,5018.94,5050.925,['0.00 USD'],0.00637,639.70 USD,True
ES.SIM-IFVGRetestStrategy-001-88068751-2aa6-49b6-a4b3-03a249c58345,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240105-163300-001-001-21,O-20240105-170800-001-001-22,BUY,FLAT,0,5,1704472380000000000,2024-01-05 16:33:00+00:00,1704474480000000000,2024-01-05 17:08:00+00:00,2100000000000,5062.92,5053.06,['0.00 USD'],-0.00195,-246.50 USD,True
ES.SIM-IFVGRetestStrategy-001-cdf7f557-8b5c-4280-9fe2-96977faf2628,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240105-172900-001-001-23,O-20240105-184000-001-001-24,SELL,FLAT,0,5,1704475740000000000,2024-01-05 17:29:00+00:00,1704480000000000000,2024-01-05 18:40:00+00:00,4260000000000,5043.46,5055.73,['0.00 USD'],-0.00243,-306.75 USD,True
ES.SIM-IFVGRetestStrategy-001-02bddd2b-9684-4132-9a23-58b405e48363,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240108-091400-001-001-25,O-20240108-093100-001-001-26,BUY,FLAT,0,4,1704705240000000000,2024-01-08 09:14:00+00:00,1704706260000000000,2024-01-08 09:31:00+00:00,1020000000000,5041.33,5031.47,['0.00 USD'],-0.00196,-197.20 USD,True
ES.SIM-IFVGRetestStrategy-001-828e5c3e-009c-403f-9f14-dc6a1946d19a,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240108-095800-001-001-27,O-20240108-121500-001-001-28,SELL,FLAT,0,4,1704707880000000000,2024-01-08 09:58:00+00:00,1704716100000000000,2024-01-08 12:15:00+00:00,8220000000000,5038.4,5048.26,['0.00 USD'],-0.00196,-197.20 USD,True
ES.SIM-IFVGRetestStrategy-001-62592d30-9753-4386-a43e-92faa0d35aaa,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240108-130400-001-001-29,O-20240108-214100-001-001-31,BUY,FLAT,0,4,1704719040000000000,2024-01-08 13:04:00+00:00,1704750060000000000,2024-01-08 21:41:00+00:00,31020000000000,5050.13,5093.3150000000005,['0.00 USD'],0.00855,863.70 USD,True
ES.SIM-IFVGRetestStrategy-001-70de0ca9-c7eb-43ac-a07e-de90de338733,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240109-071300-001-001-32,O-20240109-151600-001-001-34,SELL,FLAT,0,5,1704784380000000000,2024-01-09 07:13:00+00:00,1704813360000000000,2024-01-09 15:16:00+00:00,28980000000000,5113.57,5095.29,['0.00 USD'],0.00357,457.00 USD,True
ES.SIM-IFVGRetestStrategy-001-f1eefb21-a694-4583-b595-a0c9bca323ed,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240109-175100-001-001-35,O-20240109-185100-001-001-36,SELL,FLAT,0,5,1704822660000000000,2024-01-09 17:51:00+00:00,1704826260000000000,2024-01-09 18:51:00+00:00,3600000000000,5114.37,5115.17,['0.00 USD'],-0.00016,-20.00 USD,True
ES.SIM-IFVGRetestStrategy-001-9adf974f-e88b-4192-ac5d-220a27820c4b,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240109-202700-001-001-37,O-20240109-214100-001-001-38,SELL,FLAT,0,5,1704832020000000000,2024-01-09 20:27:00+00:00,1704836460000000000,2024-01-09 21:41:00+00:00,4440000000000,5110.64,5108.78,['0.00 USD'],0.00036,46.50 USD,True
ES.SIM-IFVGRetestStrategy-001-7c7f1407-e443-41a4-b33e-acf73d052dd9,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240110-061300-001-001-39,O-20240110-115000-001-001-40,BUY,FLAT,0,5,1704867180000000000,2024-01-10 06:13:00+00:00,1704887400000000000,2024-01-10 11:50:00+00:00,20220000000000,5108.51,5108.78,['0.00 USD'],5e-05,6.75 USD,True
ES.SIM-IFVGRetestStrategy-001-1ccda87e-f224-40db-80b7-1e2ae5808fe3,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240110-125800-001-001-41,O-20240110-143600-001-001-42,SELL,FLAT,0,5,1704891480000000000,2024-01-10 12:58:00+00:00,1704897360000000000,2024-01-10 14:36:00+00:00,5880000000000,5110.91,5122.1,['0.00 USD'],-0.00219,-279.75 USD,True
