position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
ES.SIM-IFVGRetestStrategy-001-08551e73-6f76-4e08-b227-3bd9bfaf9bc8,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240102-085400-001-001-1,O-20240102-094100-001-001-2,BUY,FLAT,0,10,1704185640000000000,2024-01-02 08:54:00+00:00,1704188460000000000,2024-01-02 09:41:00+00:00,2820000000000,5146.63,5136.23,['0.00 USD'],-0.00202,-520.00 USD,True
ES.SIM-IFVGRetestStrategy-001-300c5337-e9a6-4884-9dc8-d8d302ff1f1c,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240102-115400-001-001-3,O-20240102-143300-001-001-4,SELL,FLAT,0,10,1704196440000000000,2024-01-02 11:54:00+00:00,1704205980000000000,2024-01-02 14:33:00+00:00,9540000000000,5107.44,5107.18,['0.00 USD'],5e-05,13.00 USD,True
ES.SIM-IFVGRetestStrategy-001-386d6357-f4f4-414a-ae87-237d4a22134f,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240102-150800-001-001-5,O-20240102-161100-001-001-6,SELL,FLAT,0,10,1704208080000000000,2024-01-02 15:08:00+00:00,1704211860000000000,2024-01-02 16:11:00+00:00,3780000000000,5100.24,5100.78,['0.00 USD'],-0.00011,-27.00 USD,True
ES.SIM-IFVGRetestStrategy-001-ea83213b-8717-447c-99b4-5bbb10f6c35b,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240103-093200-001-001-7,O-20240103-122200-001-001-8,BUY,FLAT,0,10,1704274320000000000,2024-01-03 09:32:00+00:00,1704284520000000000,2024-01-03 12:22:00+00:00,10200000000000,5096.25,5086.38,['0.00 USD'],-0.00194,-493.50 USD,True
ES.SIM-IFVGRetestStrategy-001-b2e3ad08-cc3d-412f-8852-70ca41240655,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240103-124600-001-001-9,O-20240103-150100-001-001-10,SELL,FLAT,0,10,1704285960000000000,2024-01-03 12:46:00+00:00,1704294060000000000,2024-01-03 15:01:00+00:00,8100000000000,5082.92,5079.18,['0.00 USD'],0.00074,187.00 USD,True
ES.SIM-IFVGRetestStrategy-001-6f753079-e868-4ddb-8bb1-0dd5e86da790,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240103-165500-001-001-11,O-20240103-180100-001-001-12,SELL,FLAT,0,10,1704300900000000000,2024-01-03 16:55:00+00:00,1704304860000000000,2024-01-03 18:01:00+00:00,3960000000000,5069.32,5079.45,['0.00 USD'],-0.002,-506.50 USD,True
ES.SIM-IFVGRetestStrategy-001-eb469e36-4944-4176-9f7d-7704eaca0db0,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240104-070300-001-001-13,O-20240104-120700-001-001-14,BUY,FLAT,0,10,1704351780000000000,2024-01-04 07:03:00+00:00,1704370020000000000,2024-01-04 12:07:00+00:00,18240000000000,5069.05,5058.66,['0.00 USD'],-0.00205,-519.50 USD,True
ES.SIM-IFVGRetestStrategy-001-c2318330-4ec3-4fd5-b0cd-b2e3f3da87a6,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240104-163400-001-001-15,O-20240104-214100-001-001-17,SELL,FLAT,0,10,1704386040000000000,2024-01-04 16:34:00+00:00,1704404460000000000,2024-01-04 21:41:00+00:00,18420000000000,5077.85,5052.396000000001,['0.00 USD'],0.00501,1272.70 USD,True
ES.SIM-IFVGRetestStrategy-001-ae5920be-ade0-4822-aa80-694a9ae266b8,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240105-134200-001-001-18,O-20240105-163000-001-001-20,BUY,FLAT,0,10,1704462120000000000,2024-01-05 13:42:00+00:00,1704472200000000000,2024-01-05 16:30:00+00:00,10080000000000,5018.94,5050.925,['0.00 USD'],0.00637,1599.25 USD,True
ES.SIM-IFVGRetestStrategy-001-981db3c8-0e29-4991-9aab-efb754225c66,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240105-163300-001-001-21,O-20240105-170800-001-001-22,BUY,FLAT,0,10,1704472380000000000,2024-01-05 16:33:00+00:00,1704474480000000000,2024-01-05 17:08:00+00:00,2100000000000,5062.92,5053.06,['0.00 USD'],-0.00195,-493.00 USD,True
