client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20240102-104500-004-004-1,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-1-001,ES.SIM-SwingReclaimStrategy-004,SIM-001,SIM-1-142,MARKET,BUY,5,GTC,False,False,5,TAKER,5136.77,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ddbf02da-8810-4364-be12-6b36e840be5a,2024-01-02 10:45:00+00:00,2024-01-02 10:45:00+00:00
O-20240102-110000-004-004-2,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-1-002,ES.SIM-SwingReclaimStrategy-004,SIM-001,SIM-1-146,MARKET,SELL,5,GTC,True,False,5,TAKER,5132.5,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,bbad31ad-ebef-4ab5-9d89-2605c01bd116,2024-01-02 11:00:00+00:00,2024-01-02 11:00:00+00:00
O-20240102-205000-004-004-3,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-1-003,ES.SIM-SwingReclaimStrategy-004,SIM-001,SIM-1-265,MARKET,BUY,4,GTC,False,False,4,TAKER,5090.11,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f9f2d0f4-b548-43dc-b87a-a67c20f08a78,2024-01-02 20:50:00+00:00,2024-01-02 20:50:00+00:00
O-20240102-214500-004-004-4,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-1-004,ES.SIM-SwingReclaimStrategy-004,SIM-001,SIM-1-277,MARKET,SELL,4,GTC,True,False,4,TAKER,5106.38,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,99c037c2-d352-42c7-b5ed-2d694b956ba0,2024-01-02 21:45:00+00:00,2024-01-02 21:45:00+00:00
O-20240103-150500-004-004-5,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-1-005,ES.SIM-SwingReclaimStrategy-004,SIM-001,SIM-1-474,MARKET,BUY,5,GTC,False,False,5,TAKER,5082.38,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b0073fb7-c8e8-4ee2-8121-711a162c02ce,2024-01-03 15:05:00+00:00,2024-01-03 15:05:00+00:00
O-20240103-151500-004-004-6,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-1-006,ES.SIM-SwingReclaimStrategy-004,SIM-001,SIM-1-477,MARKET,SELL,5,GTC,True,False,5,TAKER,5068.79,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b2261f2c-65ed-47fa-b7fa-2b1dd11e44e5,2024-01-03 15:15:00+00:00,2024-01-03 15:15:00+00:00
O-20240103-210000-004-004-7,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-1-007,ES.SIM-SwingReclaimStrategy-004,SIM-001,SIM-1-547,MARKET,BUY,4,GTC,False,False,4,TAKER,5061.86,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,7668cf26-1bee-4b40-b6f1-ff260809b45a,2024-01-03 21:00:00+00:00,2024-01-03 21:00:00+00:00
O-20240103-214500-004-004-8,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-1-008,ES.SIM-SwingReclaimStrategy-004,SIM-001,SIM-1-557,MARKET,SELL,4,GTC,True,False,4,TAKER,5062.12,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,90444b29-ce7d-46e1-bc3b-9a6da6808ae1,2024-01-03 21:45:00+00:00,2024-01-03 21:45:00+00:00
O-20240104-121500-004-004-9,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-1-009,ES.SIM-SwingReclaimStrategy-004,SIM-001,SIM-1-720,MARKET,BUY,4,GTC,False,False,4,TAKER,5063.72,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,bfc1d9b8-0f8d-4409-abc4-6f32c556c7db,2024-01-04 12:15:00+00:00,2024-01-04 12:15:00+00:00
O-20240104-134000-004-004-10,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-1-010,ES.SIM-SwingReclaimStrategy-004,SIM-001,SIM-1-738,MARKET,SELL,4,GTC,True,False,4,TAKER,5057.86,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,7d883b2b-9919-49ed-b820-6fc47bdb11ed,2024-01-04 13:40:00+00:00,2024-01-04 13:40:00+00:00
O-20240104-143500-004-004-11,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-1-011,ES.SIM-SwingReclaimStrategy-004,SIM-001,SIM-1-750,MARKET,BUY,4,GTC,False,False,4,TAKER,5059.99,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b924dc8c-a71f-480b-8f79-9ef8a67c80f6,2024-01-04 14:35:00+00:00,2024-01-04 14:35:00+00:00
O-20240104-161500-004-004-12,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-1-012,ES.SIM-SwingReclaimStrategy-004,SIM-001,SIM-1-771,MARKET,SELL,2,GTC,False,False,2,TAKER,5080.52,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f4db18e3-57b5-4649-9015-fa358d0d749c,2024-01-04 16:15:00+00:00,2024-01-04 16:15:00+00:00
O-20240104-165500-004-004-13,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-1-013,ES.SIM-SwingReclaimStrategy-004,SIM-001,SIM-1-780,MARKET,SELL,2,GTC,True,False,2,TAKER,5069.59,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,6f006366-705f-4718-bdd2-bafca883f1dd,2024-01-04 16:55:00+00:00,2024-01-04 16:55:00+00:00
O-20240105-072000-004-004-14,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-1-014,ES.SIM-SwingReclaimStrategy-004,SIM-001,SIM-1-942,MARKET,BUY,5,GTC,False,False,5,TAKER,5040.8,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1b43b597-c50c-4320-a8b4-7300b13c5d57,2024-01-05 07:20:00+00:00,2024-01-05 07:20:00+00:00
O-20240105-080000-004-004-15,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-1-015,ES.SIM-SwingReclaimStrategy-004,SIM-001,SIM-1-951,MARKET,SELL,5,GTC,True,False,5,TAKER,5036.0,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,71d3f57d-91c8-42e5-b48e-0a362fd585bf,2024-01-05 08:00:00+00:00,2024-01-05 08:00:00+00:00
O-20240108-094500-004-004-16,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-1-016,ES.SIM-SwingReclaimStrategy-004,SIM-001,SIM-1-1249,MARKET,BUY,4,GTC,False,False,4,TAKER,5033.87,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b3d00804-54db-4eb4-b927-8b2e6503a00e,2024-01-08 09:45:00+00:00,2024-01-08 09:45:00+00:00
O-20240108-143500-004-004-17,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-1-017,ES.SIM-SwingReclaimStrategy-004,SIM-001,SIM-1-1308,MARKET,SELL,2,GTC,False,False,2,TAKER,5060.79,0.0,['0.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,24e2f742-f627-43c5-8bc6-caa8ed67e3ef,2024-01-08 14:35:00+00:00,2024-01-08 14:35:00+00:00
