position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
ES.SIM-SwingReclaimStrategy-004-58a4a87f-cf0c-43bd-9543-c7cc1ad51f29,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240102-104500-004-004-1,O-20240102-110000-004-004-2,BUY,FLAT,0,5,1704192300000000000,2024-01-02 10:45:00+00:00,1704193200000000000,2024-01-02 11:00:00+00:00,900000000000,5136.77,5132.5,['0.00 USD'],-0.00083,-106.75 USD,True
ES.SIM-SwingReclaimStrategy-004-17d6bed9-1b1b-4d6d-8a68-6e46990d1c18,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240102-205000-004-004-3,O-20240102-214500-004-004-4,BUY,FLAT,0,4,1704228600000000000,2024-01-02 20:50:00+00:00,1704231900000000000,2024-01-02 21:45:00+00:00,3300000000000,5090.11,5106.38,['0.00 USD'],0.0032,325.40 USD,True
ES.SIM-SwingReclaimStrategy-004-60c7b06c-d0f7-44af-bb3d-9cd3af2d12e3,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240103-150500-004-004-5,O-20240103-151500-004-004-6,BUY,FLAT,0,5,1704294300000000000,2024-01-03 15:05:00+00:00,1704294900000000000,2024-01-03 15:15:00+00:00,600000000000,5082.38,5068.79,['0.00 USD'],-0.00267,-339.75 USD,True
ES.SIM-SwingReclaimStrategy-004-475dbce2-751f-425d-b496-03bc9ad08c2f,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240103-210000-004-004-7,O-20240103-214500-004-004-8,BUY,FLAT,0,4,1704315600000000000,2024-01-03 21:00:00+00:00,1704318300000000000,2024-01-03 21:45:00+00:00,2700000000000,5061.86,5062.12,['0.00 USD'],5e-05,5.20 USD,True
ES.SIM-SwingReclaimStrategy-004-7d8306ef-ef26-4dae-bbf2-a8e0b73df921,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240104-121500-004-004-9,O-20240104-134000-004-004-10,BUY,FLAT,0,4,1704370500000000000,2024-01-04 12:15:00+00:00,1704375600000000000,2024-01-04 13:40:00+00:00,5100000000000,5063.72,5057.86,['0.00 USD'],-0.00116,-117.20 USD,True
ES.SIM-SwingReclaimStrategy-004-fcfd775e-0a5b-4dbb-bf80-de8522816cf3,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240104-143500-004-004-11,O-20240104-165500-004-004-13,BUY,FLAT,0,4,1704378900000000000,2024-01-04 14:35:00+00:00,1704387300000000000,2024-01-04 16:55:00+00:00,8400000000000,5059.99,5075.055,['0.00 USD'],0.00298,301.30 USD,True
ES.SIM-SwingReclaimStrategy-004-c5890dfb-3303-41cd-9f1a-ed908a234769,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240105-072000-004-004-14,O-20240105-080000-004-004-15,BUY,FLAT,0,5,1704439200000000000,2024-01-05 07:20:00+00:00,1704441600000000000,2024-01-05 08:00:00+00:00,2400000000000,5040.8,5036.0,['0.00 USD'],-0.00095,-120.00 USD,True
ES.SIM-SwingReclaimStrategy-004-0e2724a3-f490-4097-8354-f156ad9f5e60,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240108-094500-004-004-16,O-20240108-214500-004-004-18,BUY,FLAT,0,4,1704707100000000000,2024-01-08 09:45:00+00:00,1704750300000000000,2024-01-08 21:45:00+00:00,43200000000000,5033.87,5089.05,['0.00 USD'],0.01096,1103.60 USD,True
ES.SIM-SwingReclaimStrategy-004-28d493b4-cd4b-4d0c-9bda-daaaa612fb28,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240109-181000-004-004-19,O-20240109-185000-004-004-20,SELL,FLAT,0,5,1704823800000000000,2024-01-09 18:10:00+00:00,1704826200000000000,2024-01-09 18:50:00+00:00,2400000000000,5113.84,5113.04,['0.00 USD'],0.00016,20.00 USD,True
ES.SIM-SwingReclaimStrategy-004-766383b7-ec01-4b6e-b155-a19a6c53c416,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240110-145500-004-004-21,O-20240110-174000-004-004-22,SELL,FLAT,0,5,1704898500000000000,2024-01-10 14:55:00+00:00,1704908400000000000,2024-01-10 17:40:00+00:00,9900000000000,5116.77,5125.57,['0.00 USD'],-0.00172,-220.00 USD,True
ES.SIM-SwingReclaimStrategy-004-d0b775db-863f-4850-bbb6-58958c824cf3,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240111-171500-004-004-23,O-20240111-201500-004-004-25,BUY,FLAT,0,5,1704993300000000000,2024-01-11 17:15:00+00:00,1705004100000000000,2024-01-11 20:15:00+00:00,10800000000000,5102.11,5124.88,['0.00 USD'],0.00446,569.25 USD,True
ES.SIM-SwingReclaimStrategy-004-f1510fd0-70d7-4532-a256-30fe9e3242fd,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240112-080500-004-004-26,O-20240112-114500-004-004-27,BUY,FLAT,0,5,1705046700000000000,2024-01-12 08:05:00+00:00,1705059900000000000,2024-01-12 11:45:00+00:00,13200000000000,5123.7,5121.84,['0.00 USD'],-0.00036,-46.50 USD,True
ES.SIM-SwingReclaimStrategy-004-8c3a86b7-4471-45a7-b608-267d083021a9,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240112-120500-004-004-28,O-20240112-150000-004-004-30,BUY,FLAT,0,5,1705061100000000000,2024-01-12 12:05:00+00:00,1705071600000000000,2024-01-12 15:00:00+00:00,10500000000000,5120.24,5142.682000000001,['0.00 USD'],0.00438,561.05 USD,True
ES.SIM-SwingReclaimStrategy-004-e939f8a2-4bcb-484c-a8ed-fc7e7a860db1,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240112-150500-004-004-31,O-20240112-161500-004-004-32,SELL,FLAT,0,5,1705071900000000000,2024-01-12 15:05:00+00:00,1705076100000000000,2024-01-12 16:15:00+00:00,4200000000000,5136.23,5134.1,['0.00 USD'],0.00041,53.25 USD,True
ES.SIM-SwingReclaimStrategy-004-1aa8f23f-e92b-4b53-80cb-92433aee07a9,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240115-132000-004-004-33,O-20240115-230500-004-004-34,BUY,FLAT,0,5,1705324800000000000,2024-01-15 13:20:00+00:00,1705359900000000000,2024-01-15 23:05:00+00:00,35100000000000,5128.77,5130.1,['0.00 USD'],0.00026,33.25 USD,True
ES.SIM-SwingReclaimStrategy-004-7b911363-4b25-4977-97c6-699159e772c5,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240116-063000-004-004-35,O-20240116-080500-004-004-36,BUY,FLAT,0,5,1705386600000000000,2024-01-16 06:30:00+00:00,1705392300000000000,2024-01-16 08:05:00+00:00,5700000000000,5115.97,5105.04,['0.00 USD'],-0.00214,-273.25 USD,True
ES.SIM-SwingReclaimStrategy-004-6635f918-aa52-4bd9-9f64-956efd5b8076,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240116-085000-004-004-37,O-20240116-103500-004-004-38,BUY,FLAT,0,5,1705395000000000000,2024-01-16 08:50:00+00:00,1705401300000000000,2024-01-16 10:35:00+00:00,6300000000000,5110.91,5104.78,['0.00 USD'],-0.0012,-153.25 USD,True
ES.SIM-SwingReclaimStrategy-004-c9669914-8e9d-43bc-b251-9c9dcbdc7fb7,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240116-160000-004-004-39,O-20240116-162000-004-004-40,SELL,FLAT,0,5,1705420800000000000,2024-01-16 16:00:00+00:00,1705422000000000000,2024-01-16 16:20:00+00:00,1200000000000,5130.1,5126.64,['0.00 USD'],0.00067,86.50 USD,True
ES.SIM-SwingReclaimStrategy-004-f9338379-f25b-4b26-bee2-8bcb8446cc01,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240117-073500-004-004-41,O-20240117-091500-004-004-42,BUY,FLAT,0,5,1705476900000000000,2024-01-17 07:35:00+00:00,1705482900000000000,2024-01-17 09:15:00+00:00,6000000000000,5089.85,5086.12,['0.00 USD'],-0.00073,-93.25 USD,True
ES.SIM-SwingReclaimStrategy-004-84d5fec3-ec1a-47f5-9050-43c41425ceee,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240117-135500-004-004-43,O-20240117-140500-004-004-44,BUY,FLAT,0,5,1705499700000000000,2024-01-17 13:55:00+00:00,1705500300000000000,2024-01-17 14:05:00+00:00,600000000000,5084.25,5082.92,['0.00 USD'],-0.00026,-33.25 USD,True
ES.SIM-SwingReclaimStrategy-004-8922650d-ee12-4a77-a196-b898c9925c8d,BACKTESTER-004,SwingReclaimStrategy-004,ES.SIM,SIM-001,O-20240117-141000-004-004-45,O-20240117-143500-004-004-46,BUY,FLAT,0,5,1705500600000000000,2024-01-17 14:10:00+00:00,1705502100000000000,2024-01-17 14:35:00+00:00,1500000000000,5085.32,5076.25,['0.00 USD'],-0.00178,-226.75 USD,True
